lane_index,peak_row,peak_intensity,rel_intensity_max_percent,rel_intensity_sum_percent,z_score,normalized_position
1,56,31.373,46.77,7.02,-1.007,0.1795
1,92,32.949,49.12,7.37,-0.835,0.2949
1,102,33.678,50.20,7.54,-0.756,0.3269
1,108,36.864,54.95,8.25,-0.409,0.3462
1,121,39.593,59.02,8.86,-0.112,0.3878
1,136,40.000,59.63,8.95,-0.068,0.4359
1,151,67.085,100.00,15.01,2.880,0.4840
1,174,43.186,64.38,9.66,0.279,0.5577
1,188,37.864,56.44,8.47,-0.300,0.6026
1,203,42.932,64.00,9.61,0.251,0.6506
1,236,41.339,61.62,9.25,0.078,0.7564
2,156,47.458,25.62,20.39,-1.000,0.5000
2,231,185.271,100.00,79.61,1.000,0.7404
4,198,215.644,100.00,100.00,0.000,0.6346
